genes	BIO	RA	SB505	SU5402	Connectivity	Cols	Rows	Species
BL01095	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL01232	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL01281	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL01374	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL01409	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL01464	0	1	0	1	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL01497	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL01498	0	1	1	1	3	Amphioxus	RNASeq	Amphioxus RNASeq
BL01562	0	1	1	1	3	Amphioxus	RNASeq	Amphioxus RNASeq
BL01612	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL01642	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL01721	0	1	1	1	3	Amphioxus	RNASeq	Amphioxus RNASeq
BL01723	0	1	0	1	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL01727	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL01728	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL01734	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL01934	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL01954	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL01972	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02038	0	1	1	1	3	Amphioxus	RNASeq	Amphioxus RNASeq
BL02059	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02114	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02122	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL02125	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02149	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02167	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02169	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02171	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL02173	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02183	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02194	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02208	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02231	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02233	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02256	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL02357	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL02371	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02374	0	1	1	1	3	Amphioxus	RNASeq	Amphioxus RNASeq
BL02382	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02389	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02418	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02504	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02507	0	1	0	1	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL02542	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02558	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02568	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02713	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL02731	0	1	1	1	3	Amphioxus	RNASeq	Amphioxus RNASeq
BL02738	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02795	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02872	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02883	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02898	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02900	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02916	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL02933	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL03007	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL03106	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL03191	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL03199	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL03461	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL03473	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL03534	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL03543	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL03559	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL03615	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL03639	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL03652	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL03690	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL03692	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL03708	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL03736	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL03828	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL03848	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL03985	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL04073	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL04198	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL04207	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL04246	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL04269	0	1	0	1	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL04293	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL04413	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL04465	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL04479	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL04588	0	1	1	1	3	Amphioxus	RNASeq	Amphioxus RNASeq
BL04709	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL04730	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL04737	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL04855	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL04931	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL04997	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05015	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05041	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05045	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05057	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL05063	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05077	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05099	0	1	0	1	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL05101	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05133	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05152	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05155	0	1	0	1	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL05167	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05191	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05204	0	1	0	1	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL05210	0	1	1	1	3	Amphioxus	RNASeq	Amphioxus RNASeq
BL05221	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05279	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05286	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05291	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05311	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05323	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05328	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05330	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL05421	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05438	0	1	1	1	3	Amphioxus	RNASeq	Amphioxus RNASeq
BL05481	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL05574	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05579	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05587	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05686	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05714	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL05762	0	1	0	1	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL05767	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05787	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05817	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05901	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05930	0	1	0	1	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL05934	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL05994	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06027	0	1	1	1	3	Amphioxus	RNASeq	Amphioxus RNASeq
BL06130	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06167	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06178	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06222	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06226	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06290	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL06315	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06340	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06371	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06383	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL06394	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06415	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06442	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06449	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL06458	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06501	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06560	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06645	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06692	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06700	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06719	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06749	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06835	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06879	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06889	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06921	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06944	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL06951	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL06955	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL07022	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL07045	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL07140	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL07141	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL07211	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL07371	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL07427	0	1	1	1	3	Amphioxus	RNASeq	Amphioxus RNASeq
BL07456	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL07547	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL07571	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL07615	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL07752	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL07758	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL07794	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL07798	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL07817	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL07819	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL07835	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL07877	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL07881	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL07899	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL07916	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL07944	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08036	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08050	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08194	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08252	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08261	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08276	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08342	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08354	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08386	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08431	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08466	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08519	0	1	0	1	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL08584	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08663	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08706	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08748	0	1	0	1	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL08753	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08809	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08895	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08896	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08899	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08915	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08922	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08927	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08947	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL08963	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL08978	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL09103	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL09140	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL09183	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL09219	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL09318	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL09345	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL09349	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL09367	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL09368	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL09451	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL09502	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL09524	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL09545	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL09549	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL09583	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL09592	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL09622	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL09660	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL09693	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL09738	0	1	1	1	3	Amphioxus	RNASeq	Amphioxus RNASeq
BL09751	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL09784	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL09820	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL09873	0	1	0	1	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL10029	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL10052	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL10096	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL10266	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL10269	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL10275	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL10344	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL10396	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL10401	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL10492	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL10494	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL10496	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL10505	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL10581	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL10588	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL10628	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL10649	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL10663	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL10706	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL10819	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL10832	0	1	1	1	3	Amphioxus	RNASeq	Amphioxus RNASeq
BL10967	0	1	1	1	3	Amphioxus	RNASeq	Amphioxus RNASeq
BL11021	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11047	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11058	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL11124	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11170	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11197	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11214	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11231	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11248	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL11329	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL11395	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL11494	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11519	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11528	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL11540	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11573	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL11579	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11589	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11614	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11616	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11673	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11698	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11702	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11731	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11761	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11795	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11796	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11869	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11870	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11871	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11881	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11885	0	1	1	1	3	Amphioxus	RNASeq	Amphioxus RNASeq
BL11917	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11921	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL11938	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL11992	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL12023	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12043	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL12113	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL12193	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12230	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12247	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12252	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12291	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12300	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL12345	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12426	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12457	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12467	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12519	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12535	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12561	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12588	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12596	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12684	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12707	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL12737	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12771	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12775	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12777	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12855	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL12864	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL12924	0	1	0	1	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL12929	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL13050	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL13119	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL13238	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL13242	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL13268	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL13300	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL13332	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL13337	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL13342	0	1	1	1	3	Amphioxus	RNASeq	Amphioxus RNASeq
BL13385	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL13483	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL13503	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL13517	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL13540	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL13606	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL13704	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL13715	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL13723	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL13777	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL13788	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL13815	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL13875	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL13876	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL13899	0	1	0	1	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL13985	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL14002	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
BL14045	0	1	1	0	2	Amphioxus	RNASeq	Amphioxus RNASeq
BL14060	0	1	1	1	3	Amphioxus	RNASeq	Amphioxus RNASeq
BL14182	0	1	0	0	1	Amphioxus	RNASeq	Amphioxus RNASeq
